ID;ORGANISATION_NAME;ORGANISATION_ADDITIONAL_NAME;DEPARTMENT;OFFICIAL_NAME;ORIGINAL_NAME;FIRST_NAME;DATE_OF_BIRTH;PLACE_OF_ORIGIN_NAME;SECOND_PLACE_OF_ORIGIN_NAME;PLACE_OF_BIRTH_COUNTRY;SEX;LANGUAGE;NATIONALITY;COUNTRY_OF_ORIGIN;DATE_OF_DEATH;REMARK;LAST_MEDICAL_CHECKUP;NEXT_MEDICAL_CHECKUP;PHONE_NUMBER;CELL_NUMBER;EMAIL;GUARDIANSHIP;CURRENT_TOWN;CURRENT_ZIP_CODE;MANDATOR
1250338370;MICXIC ZIHINN CIICC;MICXIC ZIHINN CIICC;ZULII MICII;ZPICTUTI  NICILI;ZPICTUTI  NICILI;Clm Ihcen;12.09.1967;;;;MALE;;SRB;DE;;;08.09.2050;;799097271;;nenad.jevdjenic@trivadis.com;;Slheen;5252;ZH
1250338490;CIUICMIIZUCZ ZIIN PH;CIUICMIIZUCZ ZIIN PH;Ceel Ileln Zoialhenl;LINCICICTI IUCUFCHII;LINCICICTI IUCUFCHII;Vlnoe;18.10.1965;Walenstadt;;;FEMALE;D;DE;DE;;Bemerkungen;;08.09.2050;;465544564;;1;Slheen Bloollaczlnooum;5252;ZH
1250355770;Nzemall;Nzamall;Cheoleool-Imllll;Zllve Celhe Cemlc Meoelc;Zllva Calha Camlc Maoalc;Foenllcle Meooln;12.01.1926;Bern;;;MALE;D;GB;DE;;;08.09.2050;;645645464;5461456;;1;Slheenxela;5286;ZH
1250355890;;;;Zuoae Cenllle;Zuoaa Canllla;Peoollle Ioouoe;28.01.1962;Berlin;;;FEMALE;D;USA;ITA;;Bemerkungen;;15.03.2050;55664564;;;1;Gemloln-Blnalon;5287;ZH
1250356650;Nlt-Lellz Inolle;Nlt-Lallz Inolla;ICIIL MICIIM;ZIZZIC IT;ZIZZIC IT;Ciaoianlll Meoll;03.03.1964;;;;FEMALE;D;ITA;CH;;;15.03.2001;;78945645;78948613212;;;;;VS
1250356890;Kolcolaeulo;Kolcolaaulo;ZICIF;;;;15.03.1957;;;;FEMALE;D;CH;SPA;;Bemerkungen;;;213221;;;1;;;AG
1250358970;CIUICMIIZUCZ ZIIN PH;CIUICMIIZUCZ ZIIN PH;Ceaul Ileln Zoialhenl;PINTILII;PINTILII;;15.03.1959;;SRB;;FEMALE;D;SPA;DE;;;;08.09.2050;1322315456;;;;Uloln;5018;AG
1250359010;;;;LIWI INTCI MICHIIL;LIWI INTCI MICHIIL;Cheollc I.;03.12.1961;Walenstadt;DE;;;D;BIH;GB;;;;;64546;46564;nenad.jevdjenic@iubh-fernstudium.de;;;;VS
1250262570;Mlooeeul;Mlooaaul;Clnial Ceoellnl Plloolne;Zaee;Zaaa;Zalznlv;26.01.1959;Bern;GB;;;D;RUS;USA;;Bemerkungen;;15.03.2001;5664564;;;;Nlnalln;5285;ZH
1250372170;KIYI IKTIZ IYFIC;KIYI IKTIZ IYFIC;LINIZI;Ceovelhe Cealol;Caovalha Caalol;Cholcoll Zxlvll;31.10.1955;Berlin;USA;;MALE;F;;ITA;;;15.03.2001;;6545646;54645861;;;Slheenxela;5286;ZH
1250372290;ZUNCI HIINZ HINZ;ZUNCI HIINZ HINZ;Cleoe Zlmenl;KIZIKCIIC;KIZIKCIIC;Mentola Mllhell;15.03.1987;;ITA;;MALE;F;;CH;;Bemerkungen;;;;;;1;Veoalmxela;4801;AG
1250381170;;;;CIMILLI FCINCIIZ;CIMILLI FCINCIIZ;Keonllle Zucennl;24.03.1966;;CH;SRB;;D;SRB;SPA;;;;;54646445;456654;;;;;VS
1250381810;Kolcolaeulo;Kolcolaaulo;ZICIF;;;;16.01.1964;;SPA;DE;;D;DE;;12.09.1967;;;;546564132;;nenad.jevdjenic@iubh.de;;;;AG
1250385010;Nzemall;Nzamall;Cheoleool-Imllll;MICIMI IT.;MICIMI IT.;;15.02.1957;Solothurn;BIH;GB;;E;GB;;18.10.1965;Bemerkungen;;15.03.2001;132264646;46584789;;1;;;VS
1250385030;;;;Tlll'Ueme;Tlll'Uama;;15.03.1959;Moskau;RUS;USA;MALE;E;USA;DE;12.01.1926;;;;48974566;;;;;;VS
1250385090;Mlooeeul;Mlooaaul;Clnial Ceoellnl Plloolne;WITTWIC MIX;WITTWIC MIX;;25.03.1957;Roma;;ITA;FEMALE;I;ITA;GB;28.01.1962;Bemerkungen;15.03.2001;;;;dummy@iubh.de;;;;VS
1250385210;Nlt-Lellz Inolle;Nlt-Lallz Inolla;ICIIL MICIIM;Zeleo Zvlo;Zalao Zvlo;;15.03.1997;;;CH;;;CH;USA;03.03.1964;;08.09.2050;;6564654;312311;;1;;;VS
1250385250;KIMMICH WIUCZ;KIMMICH WIUCZ;Iooem;Keaolju;Kaaolju;;15.09.1957;;;SPA;;;SPA;ITA;15.03.1957;Bemerkungen;;08.09.2050;5666464554;123112;dummy@iubh.de;;;;VS
1250385290;ZUNCI HIINZ HINZ;ZUNCI HIINZ HINZ;Cleoe Zlmenl;HUFZCHMIT MICCILLUZ ZIIN;HUFZCHMIT MICCILLUZ ZIIN;;15.03.1977;;;BIH;;;BIH;CH;15.03.1959;;08.09.2050;;46456456;23132;;1;;;VS
1250385330;Puoze;Puoza;Zlven;VICITTI;VICITTI;;15.03.2001;;;RUS;;;RUS;SPA;03.12.1961;;;08.09.2050;156465;2131;dummy@iubh.de;;;;VS
